productname,process_stage,duration_hours,ph,temperature_c,experiment_type,additive_dose_pct,влага,сухие_вещества,fat_pct,protein_pct,density_kg_m3,кислотность,orp_mv,viscosity_mpa_s,water_activity,kmafanm,lactic_bacteria,pressure_mpa,humidity_pct
Айран,Ферментация,4.4897959183673475,4.808410935934046,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,66.86356256263818,58.71529122897341,111.66637184976807,0.8712,891032.5968427663,10000000,0.1,80.0
Айран,Ферментация,4.6938775510204085,4.783298659207012,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,67.86805363171953,58.697105767208924,115.89531320419577,0.8712,1092760.82950233,10000000,0.1,80.0
Айран,Ферментация,4.8979591836734695,4.759070803678759,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,68.83716785284967,58.000500952183565,120.12910876356631,0.8712,1340159.9837377649,10000000,0.1,80.0
Айран,Ферментация,5.1020408163265305,4.735667186607319,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,69.77331253570725,58.64133696520029,124.36759578098321,0.8712,1643569.8768869324,10000000,0.1,80.0
Айран,Ферментация,5.3061224489795915,4.713033566594463,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,70.67865733622149,56.361252804269064,128.61062223343538,0.8712,2015671.2429780366,10000000,0.1,80.0
Айран,Ферментация,5.510204081632653,4.691120886384139,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,71.55516454463445,58.041625510575315,132.85804579045163,0.8712,2472015.7122033527,10000000,0.1,80.0
Айран,Ферментация,5.714285714285714,4.669884632573536,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,72.40461469705856,61.52833111869726,137.1097329112193,0.8712,3031675.776825492,10000000,0.1,80.0
Айран,Ферментация,5.918367346938775,4.6492842912223615,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,73.22862835110556,61.3504811801848,141.36555805074198,0.8712,3718041.9082362107,10000000,0.1,80.0
Айран,Ферментация,6.122448979591837,4.6292828826248416,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,74.02868469500635,65.04971037139632,145.62540295903196,0.8712,4559800.139933135,10000000,0.1,80.0
Айран,Ферментация,6.326530612244898,4.609846561820175,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,74.806137527193,64.22767979051656,149.8891560600789,0.8712,5592130.973584847,10000000,0.1,80.0
Айран,Ферментация,6.530612244897959,4.590944274000229,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,75.56222903999085,62.75935427271872,154.15671189953684,0.8712,6858179.7153472565,10000000,0.1,80.0
Айран,Ферментация,6.73469387755102,4.572547456003402,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,76.29810175986393,64.77941664832507,158.42797065186977,0.8712,8410859.693768747,10000000,0.1,80.0
Айран,Ферментация,6.938775510204081,4.5546297766906205,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,77.01480893237519,65.6981725954096,162.70283767914992,0.8712,10315063.723097803,10000000,0.1,80.0
Айран,Ферментация,7.142857142857143,4.537166910279886,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,77.71332358880457,63.62698110402937,166.98122313490674,0.8712,12650376.238043312,10000000,0.1,80.0
Айран,Ферментация,7.346938775510204,4.520136337742664,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,78.39454649029346,61.82939582429574,171.26304160741068,0.8712,15514399.451134963,10000000,0.1,80.0
Айран,Ферментация,7.551020408163265,4.503517172193681,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,79.05931311225277,63.53600863346267,175.54821179759443,0.8712,19026832.546334323,10000000,0.1,80.0
Айран,Ферментация,7.755102040816327,4.487290004877636,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,79.70839980489458,68.99124218514677,179.83665622750573,0.8712,23334474.39499591,10000000,0.1,80.0
Айран,Ферментация,7.959183673469388,4.471436768904394,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,80.34252924382426,65.04213700973769,184.12830097574624,0.8712,28617358.878034648,10000000,0.1,80.0
Айран,Ферментация,8.16326530612245,4.4559406183334405,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,80.9623752666624,63.97591949459676,188.42307543684657,0.8712,35096279.23437837,10000000,0.1,80.0
Айран,Ферментация,8.36734693877551,4.440785820578457,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,81.56856717686175,63.78079736486315,192.7209121019191,0.8712,43042015.90884374,10000000,0.1,80.0
Айран,Ферментация,8.571428571428571,4.425957660409072,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,82.16169358363715,66.32690027450394,197.02174635829215,0.8712,52786653.56874751,10000000,0.1,80.0
Айран,Ферментация,8.775510204081632,4.411442354081402,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,82.74230583674395,68.1175185932504,201.32551630610538,0.8712,64737460.273426525,10000000,0.1,80.0
Айран,Ферментация,8.979591836734695,4.3972269723414,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,83.31092110634401,70.03521762143755,205.63216259010966,0.8712,79393908.86363636,10000000,0.1,80.0
Айран,Ферментация,9.183673469387756,4.383299371223067,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,83.86802515107735,66.47863316434494,209.94162824512821,0.8712,97368551.96395163,10000000,0.1,80.0
Айран,Ферментация,9.387755102040817,4.369648129713352,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,84.41407481146595,71.55774339463356,214.25385855380924,0.8712,119412623.04946202,10000000,0.1,80.0
Айран,Ферментация,9.591836734693878,4.35626249348198,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,84.94950026072082,67.80605690333728,218.5688009154806,0.8712,146447433.5495109,10000000,0.1,80.0
Айран,Ферментация,9.795918367346939,4.343132323981601,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,85.47470704073596,67.81471281485177,222.8864047250334,0.8712,179602878.20120066,10000000,0.1,80.0
Айран,Ферментация,10.0,4.3302480523147215,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,85.99007790741115,71.20603188358704,227.20662126089854,0.8712,220264657.9480672,10000000,0.1,80.0
Айран,Ферментация,0.0,5.98,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,20.0,20.312470155641773,70.50321353758714,0.862092,10000.0,10000000,0.1,80.0
Айран,Ферментация,0.20408163265306123,5.853712340859337,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,25.051506365626537,25.159487725950836,74.4665678592652,0.862092,12263.982635139904,10000000,0.1,80.0
Айран,Ферментация,0.40816326530612246,5.74724537958909,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,29.310184816436404,28.28531673648725,78.44344471625041,0.862092,15040.527007501314,10000000,0.1,80.0
Айран,Ферментация,0.6122448979591837,5.655213263037652,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,32.99146947849394,32.88223579054645,82.43190587774578,0.862092,18445.67620433489,10000000,0.1,80.0
Айран,Ферментация,0.8163265306122449,5.574165071297371,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,36.23339714810516,30.637592727561575,86.43050413636078,0.862092,22621.74526633764,10000000,0.1,80.0
Айран,Ферментация,1.0204081632653061,5.501756304623705,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,39.12974781505181,34.47927783586288,90.43811696719871,0.862092,27743.26911229232,10000000,0.1,80.0
Айран,Ферментация,1.2244897959183674,5.4363212427994085,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,41.747150288023676,36.31827657601921,94.4538478821566,0.862092,34024.29706351663,10000000,0.1,80.0
Айран,Ферментация,1.4285714285714286,5.376633827399386,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,44.134646904024564,42.212262421574714,98.4769641608703,0.862092,41727.33883598096,10000000,0.1,80.0
Айран,Ферментация,1.6326530612244898,5.32176536774929,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,46.329385290028426,40.40964933380105,102.50685557850328,0.862092,51174.335889506954,10000000,0.1,80.0
Айран,Ферментация,1.836734693877551,5.270995528186356,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,48.360178872545774,44.76159148362716,106.54300595504765,0.862092,62760.11667137301,10000000,0.1,80.0
Айран,Ферментация,2.0408163265306123,5.223754314672314,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,50.24982741310744,46.55523010802702,110.58497289906036,0.862092,76968.89810370731,10000000,0.1,80.0
Айран,Ферментация,2.2448979591836737,5.179582945205469,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,52.01668219178124,47.053641475436024,114.63237298983898,0.862092,94394.52297897195,10000000,0.1,80.0
Айран,Ферментация,2.4489795918367347,5.138106676567537,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,53.67573293729855,45.05573897857776,118.68487068535988,0.862092,115765.27906664264,10000000,0.1,80.0
Айран,Ферментация,2.6530612244897958,5.099015454743514,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,55.239381810259474,42.41103387112199,122.74216985280458,0.862092,141974.33722254302,10000000,0.1,80.0
Айран,Ферментация,2.857142857142857,5.06204983247467,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,56.71800670101323,49.33137466705892,126.80400718891687,0.862092,174117.08063327652,10000000,0.1,80.0
Айран,Ферментация,3.0612244897959187,5.0269905219025715,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,58.12037912389716,49.378919626265024,130.8701470303269,0.862092,213536.88533677583,10000000,0.1,80.0
Айран,Ферментация,3.2653061224489797,4.993650511379155,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,59.45397954483383,48.91725900867713,134.94037720480165,0.862092,261881.26537320795,10000000,0.1,80.0
Айран,Ферментация,3.4693877551020407,4.961869026440006,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,60.725238942399784,48.56371191087096,139.01450567461498,0.862092,321170.72910054866,10000000,0.1,80.0
Айран,Ферментация,3.673469387755102,4.9315068402983435,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,61.939726388066276,54.285810902795056,143.09235779139792,0.862092,393883.2244604352,10000000,0.1,80.0
Айран,Ферментация,3.8775510204081636,4.902442587401799,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,63.10229650392806,53.7935561374048,147.1737740291441,0.862092,483057.70250556926,10000000,0.1,80.0
Айран,Ферментация,4.081632653061225,4.874569833119225,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,64.21720667523101,51.17553735180197,151.25860809549846,0.862092,592421.1275298878,10000000,0.1,80.0
Айран,Ферментация,4.285714285714286,4.847794720759541,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,65.28821116961836,55.24688092219918,155.34672534550492,0.862092,726544.2420716546,10000000,0.1,80.0
Айран,Ферментация,4.4897959183673475,4.822034064585976,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,66.31863741656097,58.29150540674567,159.43800143953612,0.862092,891032.5968427663,10000000,0.1,80.0
Айран,Ферментация,4.6938775510204085,4.797213791076698,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,67.31144835693212,56.91880457439668,163.53232120011322,0.862092,1092760.82950233,10000000,0.1,80.0
Айран,Ферментация,4.8979591836734695,4.773267654798772,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,68.26929380804913,51.875391099684585,167.62957763205225,0.862092,1340159.9837377649,10000000,0.1,80.0
Айран,Ферментация,5.1020408163265305,4.75013617280956,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,69.19455308761762,57.22707232058433,171.72967107774485,0.862092,1643569.8768869324,10000000,0.1,80.0
Айран,Ферментация,5.3061224489795915,4.72776573442476,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,70.08937062300961,58.89888069629989,175.83250848503144,0.862092,2015671.2429780366,10000000,0.1,80.0
Айран,Ферментация,5.510204081632653,4.706107852821532,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,70.95568588713874,56.55097828204623,179.938002769493,0.862092,2472015.7122033527,10000000,0.1,80.0
Айран,Ферментация,5.714285714285714,4.685118532194774,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,71.79525871220906,57.719609952315395,184.0460722564017,0.862092,3031675.776825492,10000000,0.1,80.0
Айран,Ферментация,5.918367346938775,4.66475772969652,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,72.60969081213922,61.7431317564296,188.15664019025778,0.862092,3718041.9082362107,10000000,0.1,80.0
Айран,Ферментация,6.122448979591837,4.644988895617576,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,73.40044417529697,62.02098818814033,192.26963430196855,0.862092,4559800.139933135,10000000,0.1,80.0
Айран,Ферментация,6.326530612244898,4.625778578543197,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,74.16885685827214,64.48972388614843,196.38498642543917,0.862092,5592130.973584847,10000000,0.1,80.0
Айран,Ферментация,6.530612244897959,4.607096084767668,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,74.9161566092933,59.28757065070983,200.50263215670822,0.862092,6858179.7153472565,10000000,0.1,80.0
Айран,Ферментация,6.73469387755102,4.5889131832591765,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,75.64347266963296,62.83852799353025,204.6225105498844,0.862092,8410859.693768747,10000000,0.1,80.0
Айран,Ферментация,6.938775510204081,4.571203849054683,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,76.35184603781269,60.6678648462727,208.74456384504123,0.862092,10315063.723097803,10000000,0.1,80.0
Айран,Ферментация,7.142857142857143,4.553944039230119,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,77.04223843079525,60.83295769507736,212.86873722397567,0.862092,12650376.238043312,10000000,0.1,80.0
Айран,Ферментация,7.346938775510204,4.537111496606121,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,77.71554013575518,63.579341592866186,216.9949785903486,0.862092,15514399.451134963,10000000,0.1,80.0
Айран,Ферментация,7.551020408163265,4.520685577168173,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,78.3725769132731,64.83651321826098,221.1232383712374,0.862092,19026832.546334323,10000000,0.1,80.0
Айран,Ферментация,7.755102040816327,4.504647097844175,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,79.01411608623303,64.3098937315974,225.25346933755245,0.862092,23334474.39499591,10000000,0.1,80.0
Айран,Ферментация,7.959183673469388,4.48897820182411,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,79.64087192703562,65.3467664740943,229.38562644112514,0.862092,28617358.878034648,10000000,0.1,80.0
Айран,Ферментация,8.16326530612245,4.473662239050493,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,80.25351043798028,61.623250003972984,233.5196666665772,0.862092,35096279.23437837,10000000,0.1,80.0
Айран,Ферментация,8.36734693877551,4.458683659874056,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,80.8526536050378,65.782287116571,237.6555488963281,0.862092,43042015.90884374,10000000,0.1,80.0
Айран,Ферментация,8.571428571428571,4.444027920171757,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,81.43888319312975,66.49962667415686,241.79323378731564,0.862092,52786653.56874751,10000000,0.1,80.0
Айран,Ферментация,8.775510204081632,4.429681396475804,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,82.01274414096787,67.12270863381436,245.9326836581848,0.862092,64737460.273426525,10000000,0.1,80.0
Айран,Ферментация,8.979591836734695,4.415631309872314,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,82.57474760510746,66.8039649598294,250.07386238585391,0.862092,79393908.86363636,10000000,0.1,80.0
Айран,Ферментация,9.183673469387756,4.401865657604193,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,83.12537369583228,68.20060253704717,254.21673531050797,0.862092,97368551.96395163,10000000,0.1,80.0
Айран,Ферментация,9.387755102040817,4.388373151460871,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,83.66507394156517,72.5623134271627,258.36126914816793,0.862092,119412623.04946202,10000000,0.1,80.0
Айран,Ферментация,9.591836734693878,4.375143162162422,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,84.19427351350315,71.19864244597753,262.5074319101074,0.862092,146447433.5495109,10000000,0.1,80.0
Айран,Ферментация,9.795918367346939,4.362165669051583,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,84.7133732379367,70.34225989017814,266.65519282844446,0.862092,179602878.20120066,10000000,0.1,80.0
Айран,Ферментация,10.0,4.349431214497108,42.0,Опыт 1 (Сухая 1%),1.0,87.08,12.92,3.198,3.09,1038.391,85.22275142011569,70.21934493178135,270.8045222873417,0.862092,220264657.9480672,10000000,0.1,80.0
Айран,Ферментация,0.0,5.98,42.0,Опыт 1 (Сухая 2%),2.0,86.16,13.84,3.196,3.1799999999999997,1041.022,20.0,19.65557369482658,120.50321353758714,0.852984,10000.0,10000000,0.1,80.0
Айран,Ферментация,0.20408163265306123,5.855383795171493,42.0,Опыт 1 (Сухая 2%),2.0,86.16,13.84,3.196,3.1799999999999997,1041.022,24.984648193140302,25.195942737219866,124.40905862910262,0.852984,12263.982635139904,10000000,0.1,80.0
Айран,Ферментация,0.40816326530612246,5.75032595544747,42.0,Опыт 1 (Сухая 2%),2.0,86.16,13.84,3.196,3.1799999999999997,1041.022,29.18696178210123,27.653828481927054,128.319229939055,0.852984,15040.527007501314,10000000,0.1,80.0
Айран,Ферментация,0.6122448979591837,5.6595119110268595,42.0,Опыт 1 (Сухая 2%),2.0,86.16,13.84,3.196,3.1799999999999997,1041.022,32.81952355892564,32.32249243415743,132.2330994531713,0.852984,18445.67620433489,10000000,0.1,80.0
Айран,Ферментация,0.8163265306122449,5.579536415941965,42.0,Опыт 1 (Сухая 2%),2.0,86.16,13.84,3.196,3.1799999999999997,1041.022,36.0185433623214,35.299957886782295,136.15019919903352,0.852984,22621.74526633764,10000000,0.1,80.0
Айран,Ферментация,1.0204081632653061,5.508086000591921,42.0,Опыт 1 (Сухая 2%),2.0,86.16,13.84,3.196,3.1799999999999997,1041.022,38.876559976323186,36.516041361523676,140.07016682772849,0.852984,27743.26911229232,10000000,0.1,80.0
Айран,Ферментация,1.2244897959183674,5.443516991056476,42.0,Опыт 1 (Сухая 2%),2.0,86.16,13.84,3.196,3.1799999999999997,1041.022,41.459320357740985,37.74664704854577,143.99271340076496,0.852984,34024.29706351663,10000000,0.1,80.0
Айран,Ферментация,1.4285714285714286,5.384619556154394,42.0,Опыт 1 (Сухая 2%),2.0,86.16,13.84,3.196,3.1799999999999997,1041.022,43.81521775382424,39.878400771999935,147.9176030883276,0.852984,41727.33883598096,10000000,0.1,80.0
Айран,Ферментация,1.6326530612244898,5.330477296705549,42.0,Опыт 1 (Сухая 2%),2.0,86.16,13.84,3.196,3.1799999999999997,1041.022,45.98090813177805,40.05305405240129,151.84463973228225,0.852984,51174.335889506954,10000000,0.1,80.0
Айран,Ферментация,1.836734693877551,5.280379410901537,42.0,Опыт 1 (Сухая 2%),2.0,86.16,13.84,3.196,3.1799999999999997,1041.022,47.98482356393855,40.04974680140521,155.77365759533407,0.852984,62760.11667137301,10000000,0.1,80.0
Айран,Ферментация,2.0408163265306123,5.2337634487428275,42.0,Опыт 1 (Сухая 2%),2.0,86.16,13.84,3.196,3.1799999999999997,1041.022,49.84946205028692,46.77331148324258,159.70451478231135,0.852984,76968.89810370731,10000000,0.1,80.0
Айран,Ферментация,2.2448979591836737,5.190176700342455,42.0,Опыт 1 (Сухая 2%),2.0,86.16,13.84,3.196,3.1799999999999997,1041.022,51.59293198630181,44.40711065454904,163.63708843286855,0.852984,94394.52297897195,10000000,0.1,80.0
Айран,Ферментация,2.4489795918367347,5.149249382318849,42.0,Опыт 1 (Сухая 2%),2.0,86.16,13.84,3.196,3.1799999999999997,1041.022,53.230024707246066,44.92694544468641,167.57127112649084,0.852984,115765.27906664264,10000000,0.1,80.0
Айран,Ферментация,2.6530612244897958,5.110675544313084,42.0,Опыт 1 (Сухая 2%),2.0,86.16,13.84,3.196,3.1799999999999997,1041.022,54.772978227476656,48.05437358680139,171.5069681400227,0.852984,141974.33722254302,10000000,0.1,80.0
Айран,Ферментация,2.857142857142857,5.0741991729272105,42.0,Опыт 1 (Сухая 2%),2.0,86.16,13.84,3.196,3.1799999999999997,1041.022,56.2320330829116,45.98063832600284,175.44409531897213,0.852984,174117.08063327652,10000000,0.1,80.0
Айран,Ферментация,3.0612244897959187,5.039603882642097,42.0,Опыт 1 (Сухая 2%),2.0,86.16,13.84,3.196,3.1799999999999997,1041.022,57.615844694316145,48.89469518360547,179.38257739986702,0.852984,213536.88533677583,10000000,0.1,80.0
Айран,Ферментация,3.2653061224489797,5.006705136963842,42.0,Опыт 1 (Сухая 2%),2.0,86.16,13.84,3.196,3.1799999999999997,1041.022,58.93179452144633,50.13407572713069,183.32234667013051,0.852984,261881.26537320795,10000000,0.1,80.0
Айран,Ферментация,3.4693877551020407,4.975344289325359,42.0,Опыт 1 (Сухая 2%),2.0,86.16,13.84,3.196,3.1799999999999997,1041.022,60.18622842698566,51.9223377385274,187.26334188460743,0.852984,321170.72910054866,10000000,0.1,80.0
